Index_initial	Name_initial	Name_trimmed	Note	seq_counts	# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	taxid_matched	species_taxid_matched	file_name	merge_index	id	bofTemplateType	species_experiment	designation in screen_x	version_1_rxn_count	version_1_met_count	version_1_gen_count	version_1_gap_count	version_1_growth_rate	draft_rxn_count	draft_met_count	draft_gen_count	species	full_name	lineage_species	genus	family	order	class	phylum	assembly	agora	sort	nid	nearest_kegg_org	ref_Index_initial	designation in screen_y	GMM	BHI++	WCA	mGAM	M1	M2	M3	M4	M5	M7	M8	M9	M10	M11	M13	M14	M15A	M15B	M16	taxon_id	gram_stain	comments	gram_stain==bofTemplateType
16	Escherichia_coli	Escherichia coli		18327.0	GCF_000008865.2	PRJNA57781	SAMN01911278		reference genome	386585	562	Escherichia coli O157:H7 str. Sakai	strain=Sakai substr. RIMD 0509952		latest	Complete Genome	Major	Full	6/8/18	ASM886v2	GIRC	GCA_000008865.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/865/GCF_000008865.2_ASM886v2				True	Escherichia_coli_O157:H7_str._Sakai	16.0	16.0	GramNegative			2433.0	2495.0	2012.0	26.0	0.36803146904600575	1905.0	1893.0	1838.0																																			386585	GramNegative	Escherichia coli O157:H7. This strain is associated with Hamburger disease, which is caused by the contamination of meat products by enterohemorrhagic E. coli (EHEC). The identifier O157:H7 refers to the serotype of EHEC, and reflects the specific antigenic markers found on the surface of the cell. EHEC attaches and effaces to cells in the large intestine.There are numerous differences that distinguish O157:H7 from K-12, hundreds of them associated with genomic islands in either strain, including at least 9 large PAIs in O157:H7 that encode virulence factors. A type III secretion system, the locus of enterocyte effacement, numerous toxins and adhesins, as well as fimbrial gene clusters and iron uptake systems are found in these PAIs. Pathogenicity genes are also found on the plasmid pO157.Escherichia coli O157:H7 strain Sakai. This strain of O157:H7 was isolated in a 1997 outbreak in Sakai, Japan.	True
17	Eubacterium_eligens	[Eubacterium] eligens		18.0	GCF_000146185.1	PRJNA224116	SAMN02603083		representative genome	515620	39485	[Eubacterium] eligens ATCC 27750	strain=ATCC 27750		latest	Complete Genome	Major	Full	6/4/09	ASM14618v1	Center for Genome Sciences, Washington University School of Medicine	GCA_000146185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/185/GCF_000146185.1_ASM14618v1		assembly from type material	True	True	[Eubacterium]_eligens_ATCC_27750	17.0	17.0	GramPositive	E. eligens	E. eligens	1280.0	1471.0	849.0	69.0	0.3146059756783373	660.0	903.0	584.0	E. eligens	Eubacterium eligens (S1) DSM 3376	E. eligens	Eubacterium	Eubacteriaceae	Clostridiales	Clostridia	Firmicutes	GCA_000146185.1_ASM14618v1	Eubacterium_eligens_ATCC_27750.xml	59.0	NT5075	eel	ref_83.0	E. eligens	0	0.251 (0.001)	0.25 (0.006)	0	0	1.131 (0.004)	0.93 (0.016)	0.441 (0.005)	0.963 (0.037)	0.707 (0.108)	0.837 (0.09)	0	0.908 (0.086)	0.918 (0.093)	0	0.214 (NA)				515620	GramNegative	Eubacterium eligens ATCC 27750. Eubacterium eligens ATCC 27750 is part of the normal human gut flora and will be used for comparative analysis.	False
18	Bilophila_wadsworthia	Bilophila wadsworthia		3.0	GCF_000701705.1	PRJNA224116	SAMN02841163	JNJP00000000.1	representative genome	1408428	35833	Bilophila wadsworthia ATCC 49260	strain=ATCC 49260		latest	Scaffold	Major	Full	6/11/14	ASM70170v1	DOE Joint Genome Institute	GCA_000701705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/701/705/GCF_000701705.1_ASM70170v1		assembly from type material	True	True	Bilophila_wadsworthia_ATCC_49260	18.0	18.0	GramNegative	B. wadsworthia	B. wadsworthia	1457.0	1763.0	1221.0	0.0	0.0	912.0	1204.0	1047.0	B. wadsworthia	Bilophila wadsworthia (S2) ATCC No: 49260	B. wadsworthia	Bilophila	Desulfovibrionaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	GCA_000701705.1_ASM70170v1		79.0	NT5036		ref_56.0	B. wadsworthia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1408428		Genomic Encyclopedia of Type Strains, Phase I: one thousand microbial genomes (KMG) project. The goal of the Genomic Encyclopedia of Bacteria and Archaea (GEBA) initiative is to sequence genomes to fill phylogenetic gaps, generating reference genomes for every major and minor group of bacteria and archaea. Currently sequenced genomes have provided highly uneven coverage of the type strain material present in public culture collections. The Microbial Earth Project is an initiative of the Microbial Genomics Program of the DOE Joint Genome Institute that focuses on 1000 Type strains from the DSMZ and ATCC repositories.	False
19	Collinsella_aerofaciens	Collinsella aerofaciens		25.0	GCF_000169035.1	PRJNA224116	SAMN00627067	AAVN00000000.2	representative genome	411903	74426	Collinsella aerofaciens ATCC 25986	strain=ATCC 25986		latest	Contig	Major	Full	5/7/07	ASM16903v1	Washington University Genome Sequencing Center	GCA_000169035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/169/035/GCF_000169035.1_ASM16903v1		assembly from type material	True	True	Collinsella_aerofaciens_ATCC_25986	19.0	19.0	GramPositive	C. aerofaciens	C. aerofaciens	1164.0	1303.0	782.0	95.0	0.3105053544377805	514.0	706.0	496.0	C. aerofaciens	Collinsella aerofaciens (S2) DSM 3979	C. aerofaciens	Collinsella	Coriobacteriaceae	Coriobacteriales	Actinobacteria	Actinobacteria	GCA_000169035.1_ASM16903v1	Collinsella_aerofaciens_ATCC_25986.xml	7.0	NT5073		ref_81.0	C. aerofaciens	0.353 (0.05)	0	0.434 (NA)	0.283 (0.006)	0	0.23 (0.004)	0.341 (NA)	0	0.392 (0.254)	0.348 (0.385)	1.377 (0.042)	0	0.169 (0.007)	0.526 (0.168)	0	0				411903	GramPositive	Collinsella aerofaciens ATCC 25986. Collinsella aerofaciens ATCC 25986 (JCM 10188, CCUG 28087, DSM 3979, KCTC 3647) is the type strain and is being sequenced as part of the human gut microbiome project.	True
20	Bacteroides_caccae	Bacteroides caccae		47.0	GCF_002222615.2	PRJNA224116	SAMN07340701		representative genome	47678	47678	Bacteroides caccae	strain=ATCC 43185		latest	Complete Genome	Major	Full	8/30/17	ASM222261v2	University of North Carolina at Chapel Hill	GCA_002222615.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/222/615/GCF_002222615.2_ASM222261v2		assembly from type material		True	Bacteroides_caccae	20.0	20.0	GramNegative			1437.0	1655.0	1049.0	104.0	0.25352760224831244	773.0	1061.0	740.0																																			47678		Whole genome and metagenomic sequencing of novel and characterised bacteria from healthy human donors These data are part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/	False
21	Alistipes_shahii	Alistipes shahii		4.0	GCF_000210575.1	PRJNA224116	SAMEA3138370		representative genome	717959	328814	Alistipes shahii WAL 8301	strain=WAL 8301		latest	Chromosome	Major	Full	3/25/10	ASM21057v1	metaHIT	GCA_000210575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/575/GCF_000210575.1_ASM21057v1		assembly from type material	True	True	Alistipes_shahii_WAL_8301	21.0	21.0	GramNegative	A. shahii	A. shahii	1176.0	1460.0	717.0	0.0	0.0	617.0	899.0	527.0	A. shahii	Alistipes shahii (S1) DSM 19121	A. shahii	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000210575.1_ASM21057v1	Alistipes_shahii_WAL_8301.xml	15.0	NT5070	ash	ref_78.0	A. shahii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				717959	GramNegative	Alistipes shahii WAL 8301.This is the type strain. This genome will be used for comparative analysis.	True
22	Alistipes_sp__HGB5	Alistipes sp. HGB5		1.0	GCF_000183485.2	PRJNA224116	SAMN00116786	AENZ00000000.1	na	908612	908612	Alistipes sp. HGB5	strain=HGB5		latest	Contig	Major	Full	12/2/10	ASM18348v1	J. Craig Venter Institute	GCA_000183485.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/485/GCF_000183485.2_ASM18348v1					Alistipes_sp._HGB5	22.0	22.0	GramNegative			1366.0	1591.0	937.0	142.0	0.23882965230746264	665.0	966.0	542.0																																			908612		A reference genome for the Human Microbiome Project. 	False
23	Coprococcus_comes	Coprococcus comes		11.0	GCF_000155875.1	PRJNA224116	SAMN00000016	ABVR00000000.1	representative genome	470146	410072	Coprococcus comes ATCC 27758	strain=ATCC 27758		latest	Scaffold	Major	Full	3/17/09	ASM15587v1	Washington University Genome Sequencing Center	GCA_000155875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/155/875/GCF_000155875.1_ASM15587v1		assembly from type material	True	True	Coprococcus_comes_ATCC_27758	23.0	23.0	GramPositive	C. comes	C. comes	1207.0	1399.0	818.0	87.0	0.26562988136411747	564.0	814.0	533.0	C. comes	Coprococcus comes (S1) ATCC No: 27758	C. comes	Coprococcus	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	GCA_000155875.1_ASM15587v1	Coprococcus_comes_ATCC_27758.xml	67.0	NT5048		ref_16.0	C. comes	0.785 (0.277)	0.652 (0.304)	0.404 (0.149)	0.586 (0.296)	0	1.401 (0.171)	1.123 (0.002)	0.799 (0.087)	1.066 (0.149)	0.981 (0.018)	0.896 (0.462)	0.184 (0.023)	0.24 (0.079)	0.324 (0.232)	0	0.243 (0.1)	0	0.0	0.0	470146	GramPositive	Coprococcus comes ATCC 27758. This organism was isolated from human feces and is being sequenced as part of the human gut microbiome project.	True
24	Dorea_longicatena	Dorea longicatena		16.0	GCF_000154065.1	PRJNA224116	SAMN00627086	AAXB00000000.2	representative genome	411462	88431	Dorea longicatena DSM 13814	strain=DSM 13814		latest	Scaffold	Major	Full	5/25/07	ASM15406v1	Washington University Genome Sequencing Center	GCA_000154065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/065/GCF_000154065.1_ASM15406v1		assembly from type material			Dorea_longicatena_DSM_13814	24.0	24.0	GramPositive			1290.0	1498.0	915.0	71.0	0.20660721954384142	666.0	930.0	652.0																																			411462	GramPositive	Dorea longicatena DSM 13814. This strain is part of a comprehensive, sequence-based survey of members of the normal human gut microbiota. A joint effort of the WU-GSC and the Center for Genome Sciences at Washington University School of Medicine, the purpose of this survey is to provide the general scientific community with a broad view of the gene content of 100 representatives of the major divisions represented in the intestine's microbial community. This information should provide a frame of reference for analyzing metagenomic studies of the human gut microbiome.   	True
25	Roseburia_intestinalis	Roseburia intestinalis		11.0	GCF_000156535.1	PRJNA224116	SAMN00008856	ABYJ00000000.2	representative genome	536231	166486	Roseburia intestinalis L1-82	strain=L1-82		latest	Scaffold	Major	Full	6/22/09	ASM15653v1	Washington University Genome Sequencing Center	GCA_000156535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/156/535/GCF_000156535.1_ASM15653v1		assembly from type material	True	True	Roseburia_intestinalis_L1-82	25.0	25.0	GramPositive	R. intestinalis	R. intestinalis	1330.0	1545.0	969.0	74.0	0.3145806915818997	708.0	971.0	705.0	R. intestinalis	Roseburia intestinalis (S1) DSM No.: 14610	R. intestinalis	Roseburia	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	GCA_000156535.1_ASM15653v1	Roseburia_intestinalis_L1_82.xml	70.0	NT5011	rix	ref_75.0	R. intestinalis	0.414 (0.051)	0.21 (0.004)	0.243 (0.018)	0.524 (0.027)	0	0.469 (0.092)	0.201 (0.028)	0	0.679 (0.441)	0	0.526 (0.087)	0	0	0.271 (0.096)	0	0	0	0.0	0.0	536231	GramPositive	Roseburia intestinalis L1-82. Roseburia intestinalis L1-82 (DSM 14610) is the type strain and is part of a comprehensive, sequence-based survey of members of the normal human gut microbiota. A joint effort of the WU-GSC and the Center for Genome Sciences at Washington University School of Medicine, the purpose of this survey is to provide the general scientific community with a broad view of the gene content of 100 representatives of the major divisions represented in the intestine's microbial community. This information should provide a frame of reference for analyzing metagenomic studies of the human gut microbiome.	True
26	butyrate_producing_bacterium_SS3_4	butyrate-producing bacterium SS3/4		1.0	GCF_000209895.1	PRJNA197159	SAMEA3138354		na	245014	245014	butyrate-producing bacterium SS3/4	strain=SS3/4		suppressed	Chromosome	Major	Full	3/25/10	ASM20989v1	MetaHIT	GCA_000209895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/895/GCF_000209895.1_ASM20989v1	missing rRNA genes				butyrate-producing_bacterium_SS3_4	26.0	26.0	GramPositive			1263.0	1442.0	912.0	97.0	0.31489100760212757	618.0	850.0	629.0																																			245014		butyrate-producing bacterium SS3/4 .Butyrate-producing bacterium from the human intestine.;missing rRNA genes	False
27	Ruminococcus_sp__SR1_5	Ruminococcus sp. SR1/5		1.0	GCF_000209835.1	PRJNA197156	SAMEA3138351		na	657323	657323	Ruminococcus sp. SR1/5	strain=SR1/5		suppressed	Chromosome	Major	Full	3/25/10	ASM20983v1	MetaHIT	GCA_000209835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/835/GCF_000209835.1_ASM20983v1	missing rRNA genes				Ruminococcus_sp._SR1_5	27.0	27.0	GramPositive			1265.0	1458.0	899.0	80.0	0.27733331903526426	632.0	894.0	614.0																																			657323	GramPositive	Ruminococcus sp. SR1/5.This strain will be used for comparative genome analysis.;missing rRNA genes	True
29	Eubacterium_hallii	Anaerobutyricum hallii	?	10.0	GCF_000173975.1	PRJNA224116	SAMN02415618	ACEP00000000.1	representative genome	411469	39488	Anaerobutyricum hallii DSM 3353	strain=DSM 3353		latest	Contig	Major	Full	2/3/09	ASM17397v1	Washington University Genome Sequencing Center	GCA_000173975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/173/975/GCF_000173975.1_ASM17397v1		assembly from type material			Anaerobutyricum_hallii_DSM_3353	29.0	29.0	GramPositive			1292.0	1500.0	911.0	66.0	0.0733265422037744	673.0	925.0	652.0																																			411469			False
30	Dorea_formicigenerans	Dorea formicigenerans		28.0	GCF_000169235.1	PRJNA224116	SAMN00000008	AAXA00000000.2	representative genome	411461	39486	Dorea formicigenerans ATCC 27755	strain=ATCC 27755		latest	Contig	Major	Full	10/10/07	ASM16923v1	Washington University Genome Sequencing Center	GCA_000169235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/169/235/GCF_000169235.1_ASM16923v1		assembly from type material	True	True	Dorea_formicigenerans_ATCC_27755	30.0	30.0	GramPositive	D. formicigenerans	D. formicigenerans	1303.0	1507.0	912.0	67.0	0.16557250925452444	684.0	934.0	652.0	D. formicigenerans	Dorea formicigenerans (S1) DSM 3992	D. formicigenerans	Dorea	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	GCA_000169235.1_ASM16923v1	Dorea_formicigenerans_ATCC_27755.xml	68.0	NT5076		ref_84.0	D. formicigenerans	0.441 (0.232)	0.286 (0.013)	0.247 (0.009)	0.176 (0.006)	0.204 (0.037)	0.606 (0.017)	1.215 (0.248)	0.422 (0.076)	1.023 (0.164)	1.351 (0.277)	1.487 (0.047)	0	0.496 (0.006)	1.028 (0.02)	0	0.5 (NA)				411461	GramPositive	Dorea formicigenerans ATCC 27755.The genome sequence consists of 7.5X coverage in plasmid end reads and 454 reads. Further processing has included one round of automated sequence improvement (pre-finishing), along with manual improvement that includes breaking apart any mis-assembly, and making manual joins where possible. Manual edits also are made where the consensus appears to be incorrect. All low quality data on the ends of contigs is removed. Contigs are ordered and oriented where possible. This sequenced strain is part of a comprehensive, sequence-based survey of members of the normal human gut microbiota. A joint effort of the WU-GSC and the Center for Genome Sciences at Washington University School of Medicine, the purpose of this survey is to provide the general scientific community with a broad view of the gene content of 100 representatives of the major divisions represented in the intestine's microbial community. This information should provide a frame of reference for analyzing metagenomic studies of the human gut microbiome.   	True
31	Roseburia_hominis	Roseburia hominis		4.0	GCF_000225345.1	PRJNA224116	SAMN02604129		representative genome	585394	301301	Roseburia hominis A2-183	strain=A2-183		latest	Complete Genome	Major	Full	9/6/11	ASM22534v1	University of Aberdeen	GCA_000225345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/345/GCF_000225345.1_ASM22534v1		assembly from type material	True	True	Roseburia_hominis_A2-183	31.0	31.0	GramPositive	R. hominis	R. hominis	1231.0	1485.0	866.0	0.0	0.0	681.0	940.0	679.0	R. hominis	Roseburia hominis (S1) DSM 16839	R. hominis	Roseburia	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	GCA_000225345.1_ASM22534v1	Roseburia_hominis_A2_183.xml	69.0	NT5079	rho	ref_85.0	R. hominis	0	0	0	0	0	0	0	0	0	0	1.408 (0.102)	0	0	0	0	0				585394	gram GramPositive	Bi-directional cross-talk Between a Clostridium symbiont, Roseburia hominis, the gut immune system and appetite regulation	False
32	X_Ruminococcus__obeum	Blautia obeum	?	38.0	GCF_000153905.1	PRJNA224116	SAMN00627103	AAVO00000000.2	representative genome	411459	40520	Blautia obeum ATCC 29174	strain=ATCC 29174		latest	Scaffold	Major	Full	5/25/07	ASM15390v1	Washington University Genome Sequencing Center	GCA_000153905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/153/905/GCF_000153905.1_ASM15390v1		assembly from type material	True	True	Blautia_obeum_ATCC_29174	32.0	32.0	GramPositive	B. obeum	B. obeum	1298.0	1527.0	943.0	70.0	0.20154331672635634	674.0	960.0	682.0	B. obeum	Blautia obeum (S1) DSM 25238	B. obeum	Blautia	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	GCA_000153905.1_ASM15390v1	Blautia_obeum_ATCC_29174.xml	64.0	NT5069	rob	ref_77.0	B. obeum	0.431 (0.004)	0.353 (0.062)	0.354 (0.061)	0.239 (0.009)	0	0.877 (0.092)	0	0	0.988 (0.071)	0	0	0	0.78 (0.059)	0	0	0.367 (0.09)				411459	GramPositive	Ruminococcus obeum ATCC 29174.This strain was isolated from human feces and is part of a comprehensive, sequence-based survey of members of the normal human gut microbiota. A joint effort of the WU-GSC and the Center for Genome Sciences at Washington University School of Medicine, the purpose of this survey is to provide the general scientific community with a broad view of the gene content of 100 representatives of the major divisions represented in the intestine's microbial community. This information should provide a frame of reference for analyzing metagenomic studies of the human gut microbiome.   	True
33	Coprococcus_catus	Coprococcus catus		2.0	GCF_003433855.1	PRJNA224116	SAMN09734717	QVEP00000000.1	na	116085	116085	Coprococcus catus	strain=AF45-17		latest	Scaffold	Major	Full	8/31/18	ASM343385v1	BGI	GCA_003433855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/433/855/GCF_003433855.1_ASM343385v1			True	True	Coprococcus_catus	33.0	33.0	GramPositive	C. catus	C. catus	1152.0	1446.0	792.0	0.0	0.0	595.0	887.0	603.0	C. catus	Coprococcus catus (S1) ATCC 27761	C. catus	Coprococcus	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes		Coprococcus_catus_GD_7.xml	66.0	NT5080	cct	ref_92.0	C. catus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				116085		Reference genomes of the gut microbiota are essential for metagenomic analysis, functional characterization, and pan-genome analysis. A culturable genome reference (CGR) was built to improve mapping rates for metagenomic analysis, as well as enable functional characterization and pan-genome analysis to human gut microbiota.	False
34	Prevotella_copri	Prevotella copri		106.0	GCF_000157935.1	PRJNA224116	SAMN00008847	ACBX00000000.2	representative genome	537011	165179	Prevotella copri DSM 18205	strain=DSM 18205		latest	Scaffold	Major	Full	10/2/09	ASM15793v1	Washington University Genome Sequencing Center	GCA_000157935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/935/GCF_000157935.1_ASM15793v1		assembly from type material	True	True	Prevotella_copri_DSM_18205	34.0	34.0	GramNegative	P. copri	P. copri	1177.0	1441.0	699.0	0.0	0.0	615.0	878.0	514.0	P. copri	Prevotella copri (S1) DSMZ 18205	P. copri	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000157935.1_ASM15793v1	Prevotella_copri_CB7_DSM_18205.xml	9.0	NT5019		ref_41.0	P. copri	0.244 (0.199)	0.282 (0.142)	0.572 (0.364)	1.193 (0.355)	0	0	0	0.82 (0.154)	0	0	0	0	0	0	0	0	0	0.0	0.0	537011	GramNegative	Prevotella copri DSM 18205. Prevotella copri DSM 18205 is the type strain and is part of a comprehensive, sequence-based survey of members of the normal human gut microbiota. A joint effort of the WU-GSC and the Center for Genome Sciences at Washington University School of Medicine, the purpose of this survey is to provide the general scientific community with a broad view of the gene content of 100 representatives of the major divisions represented in the intestine's microbial community. This information should provide a frame of reference for analyzing metagenomic studies of the human gut microbiome.   	True
35	Clostridium_bolteae	[Clostridium] bolteae		16.0	GCF_000371705.1	PRJNA224116	SAMN02596758	AGYH00000000.1	representative genome	997894	208479	[Clostridium] bolteae 90A9	strain=90A9		latest	Scaffold	Major	Full	4/19/13	Clos_bolt_90A9_V1	Broad Institute	GCA_000371705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/371/705/GCF_000371705.1_Clos_bolt_90A9_V1				True	[Clostridium]_bolteae_90A9	35.0	35.0	GramPositive			1620.0	1911.0	1761.0	57.0	0.31150021329587957	1022.0	1342.0	1521.0																																			997894	GramPositive	Reference genome for the Human Microbiome Project.	True
36	Bacteroides_fragilis	Bacteroides fragilis		165.0	GCF_000009925.1	PRJNA58195	SAMD00061068		reference genome	295405	817	Bacteroides fragilis YCH46	strain=YCH46		latest	Complete Genome	Major	Full	9/16/04	ASM992v1	Kitasato Univ.	GCA_000009925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/925/GCF_000009925.1_ASM992v1				True	Bacteroides_fragilis_YCH46	36.0	36.0	GramNegative			1488.0	1737.0	1140.0	104.0	0.2545789397248355	827.0	1147.0	832.0																																			295405	GramNegative	Bacteroides fragilis strain YCH46. This organism can become an opportunistic pathogen, infecting anywhere in the body and causing abcess formation. Enterotoxigenic Bacterioides fragilis (ETBF) is associated with diarrheal diseases. This strain was isolated from a patient with septicemia in Japan. Virulence functions include numerous capsular polysaccharide biosynthesis systems that are controlled by invertible promoters that are recombined by a site-specific recombinase, Mpi, that works at a set of inverted repeats found within the chromosome. This system allows a vast repertoire of variable antigens to be expressed, thereby aiding evasion of the immune system. This organism also carries a potentially conjugative plasmid, as well as a number of conjugative and mobilizable transposons.	True
37	Bifidobacterium_longum	Bifidobacterium longum		325.0	GCF_000007525.1	PRJNA57939	SAMN02603675		reference genome	206672	216816	Bifidobacterium longum NCC2705	strain=NCC2705		latest	Complete Genome	Major	Full	1/21/05	ASM752v1	Nestle Research Center, Switzerland	GCA_000007525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/525/GCF_000007525.1_ASM752v1				True	Bifidobacterium_longum_NCC2705	37.0	37.0	GramPositive			1216.0	1380.0	720.0	95.0	0.20661950033850934	579.0	788.0	450.0																																			206672	GramPositive	Bifidobacterium longum strain NCC2705. This strain was isolated from infant feces. The genome of this strain is being sequenced for comparative genomics.	True
38	Bifidobacterium_adolescentis	Bifidobacterium adolescentis		51.0	GCF_000010425.1	PRJNA224116	SAMD00061080		representative genome	367928	1680	Bifidobacterium adolescentis ATCC 15703	strain=ATCC 15703		latest	Complete Genome	Major	Full	12/5/06	ASM1042v1	Gifu University, Life Science Research Center, Japan	GCA_000010425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/425/GCF_000010425.1_ASM1042v1		assembly from type material	True	True	Bifidobacterium_adolescentis_ATCC_15703	38.0	38.0	GramPositive	B. adolescentis	B. adolescentis	1227.0	1385.0	698.0	93.0	0.2065222263433044	590.0	799.0	425.0	B. adolescentis	Bifidobacterium adolescentis (S1) DSM No.: 20083	B. adolescentis	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	GCA_000010425.1_ASM1042v1	Bifidobacterium_adolescentis_ATCC_15703.xml	2.0	NT5022	bad	ref_3.0	B. adolescentis	0.588 (0.425)	0.722 (0.261)	0.878 (0.545)	0.549 (0.445)	0	1.556 (0.044)	0.741 (0.106)	0.473 (0.036)	0.969 (0.154)	1.144 (0.511)	1.202 (0.573)	0	0.957 (0.32)	1.434 (0.018)	0	0.218 (0.111)	0	0.0	0.0	367928	GramPositive	Bifidobacterium adolescentis ATCC 15703.This strain is being sequenced for comparative genome analysis.	True
39	Streptococcus_thermophilus	Streptococcus thermophilus		60.0	GCF_000253395.1	PRJNA224116	SAMEA2272807		representative genome	1051074	1308	Streptococcus thermophilus JIM 8232	strain=JIM 8232		latest	Complete Genome	Major	Full	7/4/11	ASM25339v1	Institut National de la Recherche Agronomique (INRA)	GCA_000253395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/253/395/GCF_000253395.1_ASM25339v1					Streptococcus_thermophilus_JIM_8232	39.0	39.0	GramPositive			1211.0	1368.0	746.0	75.0	0.1454444345100513	586.0	792.0	484.0																																			1051074		This strain will be used for comparative analysis.	False
40	Akkermansia_muciniphila	Akkermansia muciniphila		128.0	GCF_000020225.1	PRJNA224116	SAMN00138213		representative genome	349741	239935	Akkermansia muciniphila ATCC BAA-835	strain=ATCC BAA-835		latest	Complete Genome	Major	Full	5/5/08	ASM2022v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000020225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/225/GCF_000020225.1_ASM2022v1		assembly from type material	True	True	Akkermansia_muciniphila_ATCC_BAA-835	40.0	40.0	GramNegative	A. muciniphila	A. muciniphila	1222.0	1519.0	744.0	0.0	0.0	663.0	966.0	552.0	A. muciniphila	Akkermansia muciniphila (S1) DSM No.: 22959	A. muciniphila	Akkermansia	Verrucomicrobiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	GCA_000020225.1_ASM2022v1	Akkermansia_muciniphila_ATCC_BAA_835.xml	96.0	NT5021	amu	ref_0.0	A. muciniphila	0	0	0	0	0	0	0	0	0	0	0.525 (0.085)	0.382 (0.14)	0	0	0	0				349741	GramNegative	Akkermansia muciniphila ATCC BAA-835. This strain will be used for comparative genomics with other Verrucomicrobia. 	True
