	id_c	id	compartment	name	metacyc_id	kegg_id	seed_id	metanetx_id	metacyc_from_bigg	iML1515	iYO844	iAF692	metacyc_id_iML1515	kegg_id_iML1515	seed_id_iML1515	metanetx_id_iML1515	metacyc_id_iYO844	kegg_id_iYO844	seed_id_iYO844	metanetx_id_iYO844	metacyc_id_iAF692	kegg_id_iAF692	seed_id_iAF692	metanetx_id_iAF692
21	12ppd__S_c	12ppd__S	c	(S)-Propane-1,2-diol	PROPANE-1-2-DIOL	C02917	cpd19024	MNXM1255	PROPANE-1-2-DIOL	iML1515			['META:PROPANE-1-2-DIOL']	['C02917']	['cpd19024']	['MNXM1255']								
22	12ppd__S_e	12ppd__S	e	(S)-Propane-1,2-diol	PROPANE-1-2-DIOL	C02917	cpd19024	MNXM1255	PROPANE-1-2-DIOL	iML1515			['META:PROPANE-1-2-DIOL']	['C02917']	['cpd19024']	['MNXM1255']								
23	12ppd__S_p	12ppd__S	p	(S)-Propane-1,2-diol	PROPANE-1-2-DIOL	C02917	cpd19024	MNXM1255	PROPANE-1-2-DIOL	iML1515			['META:PROPANE-1-2-DIOL']	['C02917']	['cpd19024']	['MNXM1255']								
24	13dpg_c	13dpg	c	3-Phospho-D-glyceroyl phosphate	DPG	C00236	cpd00203	MNXM261	DPG	iML1515	iYO844	iAF692	['META:DPG']	['C00236']	['cpd00203']	['MNXM261']	['META:DPG']	['C00236']	['cpd00203']	['MNXM261']	['META:DPG']	['C00236']	['cpd00203']	['MNXM261']
25	13ppd_c	13ppd	c	1,3-Propanediol	CPD-347	C02457	cpd01618	MNXM2861	CPD-347	iML1515			['META:CPD-347']	['C02457']	['cpd01618']	['MNXM2861']								
26	14bxyl_c	14bxyl						MNXM165397			iYO844									['MNXM165397']				
27	14dhncoa_c	14dhncoa	c	1,4-dihydroxy-2-napthoyl-CoA	CPD-9925			MNXM147663	CPD-9925	iML1515						['MNXM147663']								
28	14glucan_c	14glucan	c	1,4-alpha-D-glucan	1-4-alpha-D-Glucan		cpd21754	MNXM2905		iML1515			['META:1-4-alpha-D-Glucan']		['cpd21754']	['MNXM2905']								
29	14glucan_e	14glucan	e	1,4-alpha-D-glucan	1-4-alpha-D-Glucan		cpd21754	MNXM2905		iML1515			['META:1-4-alpha-D-Glucan']		['cpd21754']	['MNXM2905']								
30	14glucan_p	14glucan	p	1,4-alpha-D-glucan	1-4-alpha-D-Glucan		cpd21754	MNXM2905		iML1515			['META:1-4-alpha-D-Glucan']		['cpd21754']	['MNXM2905']								
31	14glun_c	14glun						MNXM91761			iYO844									['MNXM91761']				
32	15dap_c	15dap	c	1,5-Diaminopentane	CADAVERINE	C01672	cpd01155	MNXM943	CADAVERINE	iML1515	iYO844		['META:CADAVERINE']	['C01672']	['cpd01155']	['MNXM943']	['META:CADAVERINE']	['C01672']	['cpd01155']	['MNXM943']				
33	15dap_e	15dap	e	1,5-Diaminopentane	CADAVERINE	C01672	cpd01155	MNXM943	CADAVERINE	iML1515			['META:CADAVERINE']	['C01672']	['cpd01155']	['MNXM943']								
34	15dap_p	15dap	p	1,5-Diaminopentane	CADAVERINE	C01672	cpd01155	MNXM943	CADAVERINE	iML1515			['META:CADAVERINE']	['C01672']	['cpd01155']	['MNXM943']								
35	1ag3p_BS_c	1ag3p_BS					cpd11424	MNXM6656			iYO844								['cpd11424']	['MNXM6656']				
36	1agpe120_p	1agpe120	p	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)	CPD0-2148		cpd26432	MNXM32692	CPD0-2148	iML1515			['META:CPD0-2148']		['cpd26432']	['MNXM32692']								
37	1agpe140_p	1agpe140	p	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)	CPD0-2147		cpd26431	MNXM32693	CPD0-2147	iML1515			['META:CPD0-2147']		['cpd26431']	['MNXM32693']								
38	1agpe141_p	1agpe141	p	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)				MNXM6599		iML1515						['MNXM6599']								
39	1agpe160_p	1agpe160	p	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)	CPD-8353		cpd25195	MNXM32511	CPD-8353	iML1515			['META:CPD-8353']		['cpd25195']	['MNXM32511']								
40	1agpe161_p	1agpe161	p	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)				MNXM6601		iML1515						['MNXM6601']								
41	1agpe180_p	1agpe180	p	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)	CPD0-2152	C21484	cpd26433	MNXM722840	CPD0-2152	iML1515			['META:CPD0-2152']	['C21484']	['cpd26433']	['MNXM722840']								
42	1agpe181_p	1agpe181	p	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)				MNXM9584		iML1515						['MNXM9584']								
43	1agpg120_p	1agpg120	p	1-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)	CPD0-2144		cpd26430	MNXM32695	CPD0-2144	iML1515			['META:CPD0-2144']		['cpd26430']	['MNXM32695']								
44	1agpg140_p	1agpg140	p	1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)	CPD0-2143		cpd26429	MNXM6603	CPD0-2143	iML1515			['META:CPD0-2143']		['cpd26429']	['MNXM6603']								
45	1agpg141_p	1agpg141	p	1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)				MNXM6604		iML1515						['MNXM6604']								
46	1agpg160_p	1agpg160	p	1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)	CPD0-2162		cpd26434	MNXM6605	CPD0-2162	iML1515			['META:CPD0-2162']		['cpd26434']	['MNXM6605']								
47	1agpg161_p	1agpg161	p	1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)				MNXM6606		iML1515						['MNXM6606']								
48	1agpg180_p	1agpg180	p	1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)	CPD0-2140		cpd26428	MNXM6607	CPD0-2140	iML1515			['META:CPD0-2140']		['cpd26428']	['MNXM6607']								
49	1agpg181_p	1agpg181	p	1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)	CPD-8365		cpd25202	MNXM73868		iML1515			['META:CPD-8365']		['cpd25202']	['MNXM73868']								
50	1ddecg3p_c	1ddecg3p	c	1-dodecanoyl-sn-glycerol 3-phosphate	CPD0-2200		cpd15325	MNXM4232	CPD0-2200	iML1515			['META:CPD0-2200']		['cpd15325']	['MNXM4232']								
51	1ddecg3p_p	1ddecg3p	p	1-dodecanoyl-sn-glycerol 3-phosphate	CPD0-2200		cpd15325	MNXM4232	CPD0-2200	iML1515			['META:CPD0-2200']		['cpd15325']	['MNXM4232']								
52	1hdec9eg3p_c	1hdec9eg3p	c	1-hexadec-9-enoyl-sn-glycerol 3-phosphate			cpd15326	MNXM91047		iML1515					['cpd15326']	['MNXM91047']								
53	1hdec9eg3p_p	1hdec9eg3p	p	1-hexadec-9-enoyl-sn-glycerol 3-phosphate			cpd15326	MNXM91047		iML1515					['cpd15326']	['MNXM91047']								
54	1hdecg3p_c	1hdecg3p	c	1-hexadecanoyl-sn-glycerol 3-phosphate	1-PALMITOYLGLYCEROL-3-PHOSPHATE		cpd15327	MNXM90586	1-PALMITOYLGLYCEROL-3-PHOSPHATE	iML1515					['cpd15327']	['MNXM90586']								
55	1hdecg3p_p	1hdecg3p	p	1-hexadecanoyl-sn-glycerol 3-phosphate	1-PALMITOYLGLYCEROL-3-PHOSPHATE		cpd15327	MNXM90586	1-PALMITOYLGLYCEROL-3-PHOSPHATE	iML1515					['cpd15327']	['MNXM90586']								
56	1odec11eg3p_c	1odec11eg3p	c	1-octadec-11-enoyl-sn-glycerol 3-phosphate			cpd15328	MNXM91049		iML1515					['cpd15328']	['MNXM91049']								
57	1odec11eg3p_p	1odec11eg3p	p	1-octadec-11-enoyl-sn-glycerol 3-phosphate			cpd15328	MNXM91049		iML1515					['cpd15328']	['MNXM91049']								
58	1odecg3p_c	1odecg3p	c	1-octadecanoyl-sn-glycerol 3-phosphate	CPD0-2113		cpd15329	MNXM32950	CPD0-2113	iML1515			['META:CPD0-2113']		['cpd15329']	['MNXM32950']								
59	1odecg3p_p	1odecg3p	p	1-octadecanoyl-sn-glycerol 3-phosphate	CPD0-2113		cpd15329	MNXM32950	CPD0-2113	iML1515			['META:CPD0-2113']		['cpd15329']	['MNXM32950']								
60	1p3h5c_c	1p3h5c			PYRROLINE-HYDROXY-CARBOXYLATE	C04281	cpd02625	MNXM114091	PYRROLINE-HYDROXY-CARBOXYLATE		iYO844						['META:PYRROLINE-HYDROXY-CARBOXYLATE']	['C04281']	['cpd02625']	['MNXM114091']				
61	1pyr5c_c	1pyr5c	c	1-Pyrroline-5-carboxylate	L-DELTA1-PYRROLINE_5-CARBOXYLATE	C03912; C04322	cpd02431; cpd02651; cpd29655	MNXM1617	L-DELTA1-PYRROLINE_5-CARBOXYLATE	iML1515	iYO844	iAF692	['META:L-DELTA1-PYRROLINE_5-CARBOXYLATE']	['C03912', 'C04322']	['cpd29655', 'cpd02651', 'cpd02431']	['MNXM1617']	['META:L-DELTA1-PYRROLINE_5-CARBOXYLATE']	['C03912', 'C04322']	['cpd29655', 'cpd02651', 'cpd02431']	['MNXM1617']	['META:L-DELTA1-PYRROLINE_5-CARBOXYLATE']	['C03912', 'C04322']	['cpd29655', 'cpd02651', 'cpd02431']	['MNXM1617']
62	1tdec7eg3p_c	1tdec7eg3p	c	1-tetradec-7-enoyl-sn-glycerol 3-phosphate			cpd15330	MNXM91053		iML1515					['cpd15330']	['MNXM91053']								
63	1tdec7eg3p_p	1tdec7eg3p	p	1-tetradec-7-enoyl-sn-glycerol 3-phosphate			cpd15330	MNXM91053		iML1515					['cpd15330']	['MNXM91053']								
64	1tdecg3p_c	1tdecg3p	c	1-tetradecanoyl-sn-glycerol 3-phosphate	CPD-18379		cpd15331	MNXM3426	CPD0-2143	iML1515			['META:CPD-18379']		['cpd15331']	['MNXM3426']								
65	1tdecg3p_p	1tdecg3p	p	1-tetradecanoyl-sn-glycerol 3-phosphate	CPD-18379		cpd15331	MNXM3426	CPD0-2143	iML1515			['META:CPD-18379']		['cpd15331']	['MNXM3426']								
66	23camp_c	23camp			CPD-3707	C02353	cpd01570	MNXM2598	CPD-3707		iYO844						['META:CPD-3707']	['C02353']	['cpd01570']	['MNXM2598']				
67	23camp_e	23camp	e	2',3'-Cyclic AMP	CPD-3707	C02353	cpd01570	MNXM2598	CPD-3707	iML1515			['META:CPD-3707']	['C02353']	['cpd01570']	['MNXM2598']								
68	23camp_p	23camp	p	2',3'-Cyclic AMP	CPD-3707	C02353	cpd01570	MNXM2598	CPD-3707	iML1515			['META:CPD-3707']	['C02353']	['cpd01570']	['MNXM2598']								
69	23ccmp_c	23ccmp			CPD-3713	C02354	cpd01571	MNXM3148	CPD-3713		iYO844						['META:CPD-3713']	['C02354']	['cpd01571']	['MNXM3148']				
70	23ccmp_e	23ccmp	e	2',3'-Cyclic CMP	CPD-3713	C02354	cpd01571	MNXM3148	CPD-3713	iML1515			['META:CPD-3713']	['C02354']	['cpd01571']	['MNXM3148']								
71	23ccmp_p	23ccmp	p	2',3'-Cyclic CMP	CPD-3713	C02354	cpd01571	MNXM3148	CPD-3713	iML1515			['META:CPD-3713']	['C02354']	['cpd01571']	['MNXM3148']								
72	23cgmp_c	23cgmp			CPD-3709	C06194	cpd03702	MNXM3149	CPD-3709		iYO844						['META:CPD-3709']	['C06194']	['cpd03702']	['MNXM3149']				
73	23cgmp_e	23cgmp	e	2',3'-Cyclic GMP	CPD-3709	C06194	cpd03702	MNXM3149	CPD-3709	iML1515			['META:CPD-3709']	['C06194']	['cpd03702']	['MNXM3149']								
74	23cgmp_p	23cgmp	p	2',3'-Cyclic GMP	CPD-3709	C06194	cpd03702	MNXM3149	CPD-3709	iML1515			['META:CPD-3709']	['C06194']	['cpd03702']	['MNXM3149']								
75	23cump_c	23cump			CPD-3725	C02355	cpd01572	MNXM3150	CPD-3725		iYO844						['META:CPD-3725']	['C02355']	['cpd01572']	['MNXM3150']				
76	23cump_e	23cump	e	2',3'-Cyclic UMP	CPD-3725	C02355	cpd01572	MNXM3150	CPD-3725	iML1515			['META:CPD-3725']	['C02355']	['cpd01572']	['MNXM3150']								
77	23cump_p	23cump	p	2',3'-Cyclic UMP	CPD-3725	C02355	cpd01572	MNXM3150	CPD-3725	iML1515			['META:CPD-3725']	['C02355']	['cpd01572']	['MNXM3150']								
78	23dappa_c	23dappa	c	2,3-diaminopropionate	23-Diaminopropanoate; L-23-DIAMINOPROPANOATE	C06393; C03401	cpd21925; cpd03828; cpd02150	MNXM91374	23-Diaminopropanoate	iML1515			['META:L-23-DIAMINOPROPANOATE', 'META:23-Diaminopropanoate']	['C06393', 'C03401']	['cpd02150', 'cpd21925', 'cpd03828']	['MNXM91374']								
79	23dappa_e	23dappa	e	2,3-diaminopropionate	23-Diaminopropanoate; L-23-DIAMINOPROPANOATE	C06393; C03401	cpd21925; cpd03828; cpd02150	MNXM91374	23-Diaminopropanoate	iML1515			['META:L-23-DIAMINOPROPANOATE', 'META:23-Diaminopropanoate']	['C06393', 'C03401']	['cpd02150', 'cpd21925', 'cpd03828']	['MNXM91374']								
80	23dappa_p	23dappa	p	2,3-diaminopropionate	23-Diaminopropanoate; L-23-DIAMINOPROPANOATE	C06393; C03401	cpd21925; cpd03828; cpd02150	MNXM91374	23-Diaminopropanoate	iML1515			['META:L-23-DIAMINOPROPANOATE', 'META:23-Diaminopropanoate']	['C06393', 'C03401']	['cpd02150', 'cpd21925', 'cpd03828']	['MNXM91374']								
81	23ddhb_c	23ddhb	c	2,3-Dihydro-2,3-dihydroxybenzoate	DIHYDRO-DIOH-BENZOATE	C04171	cpd29666; cpd02566	MNXM114261		iML1515	iYO844		['META:DIHYDRO-DIOH-BENZOATE']	['C04171']	['cpd02566', 'cpd29666']	['MNXM114261']	['META:DIHYDRO-DIOH-BENZOATE']	['C04171']	['cpd02566', 'cpd29666']	['MNXM114261']				
82	23dhacoa_c	23dhacoa	c	2,3-dehydroadipyl-CoA				MNXM9750		iML1515						['MNXM9750']								
83	23dhb_c	23dhb	c	2,3-Dihydroxybenzoate	2-3-DIHYDROXYBENZOATE	C00196	cpd00168	MNXM455	2-3-DIHYDROXYBENZOATE	iML1515	iYO844		['META:2-3-DIHYDROXYBENZOATE']	['C00196']	['cpd00168']	['MNXM455']	['META:2-3-DIHYDROXYBENZOATE']	['C00196']	['cpd00168']	['MNXM455']				
84	23dhba_c	23dhba	c	(2,3-Dihydroxybenzoyl)adenylate	CPD-62	C04030	cpd02494	MNXM1978	CPD-62	iML1515	iYO844		['META:CPD-62']	['C04030']	['cpd02494']	['MNXM1978']	['META:CPD-62']	['C04030']	['cpd02494']	['MNXM1978']				
85	23dhbzs3_c	23dhbzs3	c	2-3-dihydroxybenzoylserine trimer				MNXM145882		iML1515						['MNXM145882']								
86	23dhbzs_c	23dhbzs	c	2,3-dihydroxybenzoylserine	N-23-DIHYDROXYBENZOYL-L-SERINE	C04204	cpd02582; cpd15332	MNXM1487		iML1515			['META:N-23-DIHYDROXYBENZOYL-L-SERINE']	['C04204']	['cpd15332', 'cpd02582']	['MNXM1487']								
87	23dhdp_c	23dhdp	c	2,3-Dihydrodipicolinate	2-3-DIHYDRODIPICOLINATE	C03340	cpd02120	MNXM807	2-3-DIHYDRODIPICOLINATE	iML1515	iYO844	iAF692	['META:2-3-DIHYDRODIPICOLINATE']	['C03340']	['cpd02120']	['MNXM807']	['META:2-3-DIHYDRODIPICOLINATE']	['C03340']	['cpd02120']	['MNXM807']	['META:2-3-DIHYDRODIPICOLINATE']	['C03340']	['cpd02120']	['MNXM807']
88	23dhmb_c	23dhmb	c	(R)-2,3-Dihydroxy-3-methylbutanoate	CPD-13357	C04272	cpd19030	MNXM114097	CPD-13357	iML1515	iYO844	iAF692	['META:CPD-13357']	['C04272']	['cpd19030']	['MNXM114097']	['META:CPD-13357']	['C04272']	['cpd19030']	['MNXM114097']	['META:CPD-13357']	['C04272']	['cpd19030']	['MNXM114097']
89	23dhmp_c	23dhmp	c	(R)-2,3-Dihydroxy-3-methylpentanoate	1-KETO-2-METHYLVALERATE	C06007	cpd19046	MNXM1202	1-KETO-2-METHYLVALERATE	iML1515	iYO844	iAF692	['META:1-KETO-2-METHYLVALERATE']	['C06007']	['cpd19046']	['MNXM1202']	['META:1-KETO-2-METHYLVALERATE']	['C06007']	['cpd19046']	['MNXM1202']	['META:1-KETO-2-METHYLVALERATE']	['C06007']	['cpd19046']	['MNXM1202']
90	23doguln_c	23doguln	c	2,3-Dioxo-L-gulonate	CPD-334; CPD-19692	C04575	cpd02784	MNXM958	CPD-334; CPD-19692	iML1515			['META:CPD-19692', 'META:CPD-334']	['C04575']	['cpd02784']	['MNXM958']								
91	23doguln_p	23doguln	p	2,3-Dioxo-L-gulonate	CPD-334; CPD-19692	C04575	cpd02784	MNXM958	CPD-334; CPD-19692	iML1515			['META:CPD-19692', 'META:CPD-334']	['C04575']	['cpd02784']	['MNXM958']								
92	23dpg_c	23dpg			23-DIPHOSPHOGLYCERATE	C03339; C01159	cpd00853; cpd02119	MNXM892	23-DIPHOSPHOGLYCERATE			iAF692									['META:23-DIPHOSPHOGLYCERATE']	['C03339', 'C01159']	['cpd00853', 'cpd02119']	['MNXM892']
93	25aics_c	25aics	c	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate	P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE	C04823	cpd19032	MNXM607	P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE	iML1515	iYO844	iAF692	['META:P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE']	['C04823']	['cpd19032']	['MNXM607']	['META:P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE']	['C04823']	['cpd19032']	['MNXM607']	['META:P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE']	['C04823']	['cpd19032']	['MNXM607']
94	25dhpp_c	25dhpp			DIAMINO-OH-PHOSPHORIBOSYLAMINO-PYR			MNXM90906	DIAMINO-OH-PHOSPHORIBOSYLAMINO-PYR		iYO844	iAF692								['MNXM90906']				['MNXM90906']
95	25dkglcn_c	25dkglcn	c	2,5-diketo-D-gluconate	25-DIDEHYDRO-D-GLUCONATE	C02780	cpd01793	MNXM936	25-DIDEHYDRO-D-GLUCONATE	iML1515			['META:25-DIDEHYDRO-D-GLUCONATE']	['C02780']	['cpd01793']	['MNXM936']								
96	25dop_c	25dop			CPD-654			MNXM165561	CPD-654		iYO844									['MNXM165561']				
97	25drapp_c	25drapp	c	2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate	DIAMINO-OH-PHOSPHORIBOSYLAMINO-PYR	C01304		MNXM648	DIAMINO-OH-PHOSPHORIBOSYLAMINO-PYR	iML1515			['META:DIAMINO-OH-PHOSPHORIBOSYLAMINO-PYR']	['C01304']		['MNXM648']								
98	25dthpp_c	25dthpp						MNXM90774				iAF692												['MNXM90774']
99	26dap_LL_c	26dap_LL	c	LL-2,6-Diaminoheptanedioate	LL-DIAMINOPIMELATE	C00666	cpd00504	MNXM644	LL-DIAMINOPIMELATE	iML1515	iYO844		['META:LL-DIAMINOPIMELATE']	['C00666']	['cpd00504']	['MNXM644']	['META:LL-DIAMINOPIMELATE']	['C00666']	['cpd00504']	['MNXM644']				
100	26dap__M_c	26dap__M	c	Meso-2,6-Diaminoheptanedioate	MESO-DIAMINOPIMELATE	C00680	cpd00516	MNXM529	MESO-DIAMINOPIMELATE	iML1515	iYO844	iAF692	['META:MESO-DIAMINOPIMELATE']	['C00680']	['cpd00516']	['MNXM529']	['META:MESO-DIAMINOPIMELATE']	['C00680']	['cpd00516']	['MNXM529']	['META:MESO-DIAMINOPIMELATE']	['C00680']	['cpd00516']	['MNXM529']
101	26dap__M_e	26dap__M	e	Meso-2,6-Diaminoheptanedioate	MESO-DIAMINOPIMELATE	C00680	cpd00516	MNXM529	MESO-DIAMINOPIMELATE	iML1515			['META:MESO-DIAMINOPIMELATE']	['C00680']	['cpd00516']	['MNXM529']								
102	26dap__M_p	26dap__M	p	Meso-2,6-Diaminoheptanedioate	MESO-DIAMINOPIMELATE	C00680	cpd00516	MNXM529	MESO-DIAMINOPIMELATE	iML1515			['META:MESO-DIAMINOPIMELATE']	['C00680']	['cpd00516']	['MNXM529']								
103	26dapime_c	26dapime			CPD-1771			MNXM164994	CPD-1771		iYO844									['MNXM164994']				
104	2agpe120_c	2agpe120	c	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)	CPD0-2178		cpd26439	MNXM34808	CPD0-2178	iML1515			['META:CPD0-2178']		['cpd26439']	['MNXM34808']								
105	2agpe120_p	2agpe120	p	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)	CPD0-2178		cpd26439	MNXM34808	CPD0-2178	iML1515			['META:CPD0-2178']		['cpd26439']	['MNXM34808']								
106	2agpe140_c	2agpe140	c	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)	CPD0-2165		cpd26435	MNXM34809	CPD0-2165	iML1515			['META:CPD0-2165']		['cpd26435']	['MNXM34809']								
107	2agpe140_p	2agpe140	p	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)	CPD0-2165		cpd26435	MNXM34809	CPD0-2165	iML1515			['META:CPD0-2165']		['cpd26435']	['MNXM34809']								
108	2agpe141_c	2agpe141	c	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)				MNXM3447		iML1515						['MNXM3447']								
109	2agpe141_p	2agpe141	p	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)				MNXM3447		iML1515						['MNXM3447']								
110	2agpe160_c	2agpe160	c	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)	CPD0-2177		cpd26438; cpd15339	MNXM34810	CPD0-2177	iML1515			['META:CPD0-2177']		['cpd15339', 'cpd26438']	['MNXM34810']								
111	2agpe160_p	2agpe160	p	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)	CPD0-2177		cpd26438; cpd15339	MNXM34810	CPD0-2177	iML1515			['META:CPD0-2177']		['cpd15339', 'cpd26438']	['MNXM34810']								
112	2agpe161_c	2agpe161	c	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)				MNXM3448		iML1515						['MNXM3448']								
113	2agpe161_p	2agpe161	p	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)				MNXM3448		iML1515						['MNXM3448']								
114	2agpe180_c	2agpe180	c	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)	CPD0-2223		cpd15341; cpd26450	MNXM34811	CPD0-2223	iML1515			['META:CPD0-2223']		['cpd15341', 'cpd26450']	['MNXM34811']								
115	2agpe180_p	2agpe180	p	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)	CPD0-2223		cpd15341; cpd26450	MNXM34811	CPD0-2223	iML1515			['META:CPD0-2223']		['cpd15341', 'cpd26450']	['MNXM34811']								
116	2agpe181_c	2agpe181	c	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)				MNXM3449		iML1515						['MNXM3449']								
117	2agpe181_p	2agpe181	p	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)				MNXM3449		iML1515						['MNXM3449']								
118	2agpg120_c	2agpg120	c	2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)				MNXM3450		iML1515						['MNXM3450']								
119	2agpg120_p	2agpg120	p	2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)				MNXM3450		iML1515						['MNXM3450']								
120	2agpg140_c	2agpg140	c	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)	CPD0-2173		cpd26437	MNXM34739	CPD0-2173	iML1515			['META:CPD0-2173']		['cpd26437']	['MNXM34739']								
