  	Constituents                      	Link                                          	Concentration_dGMM+LAB 10% aminoacids	Role_dGMM+LAB 10% aminoacids
0
39	HCl                               	/compound?orgid=META&id=HCL                   	67.16 µM
40	glutathione                       	/compound?orgid=META&id=GLUTATHIONE           	49 µM
41	EDTA                              	/compound?orgid=META&id=EDTA                  	42.518 µM
42	nitrilotriacetate                 	/compound?orgid=META&id=CPD-10188             	38.49 µM
43	L-aspartate                       	/compound?orgid=META&id=L-ASPARTATE           	38 µM
44	guanine                           	/compound?orgid=META&id=GUANINE               	37.1 µM
45	acetate                           	/compound?orgid=META&id=ACET                  	28.8 µM
46	propanoate                        	/compound?orgid=META&id=PROPIONATE            	27 µM
47	xanthine                          	/compound?orgid=META&id=XANTHINE              	25 µM
48	biotin                            	/compound?orgid=META&id=BIOTIN                	24.74 µM
49	pyridoxine                        	/compound?orgid=META&id=PYRIDOXINE            	23.3 µM
50	butanoate                         	/compound?orgid=META&id=BUTYRIC_ACID          	23.0 µM
51	pyridoxamine                      	/compound?orgid=META&id=PYRIDOXAMINE          	21.0 µM
52	Fe3+                              	/compound?orgid=META&id=FE%2b3                	18 µM
53	Zn2+                              	/compound?orgid=META&id=ZN%2b2                	17 µM
54	Fe2+                              	/compound?orgid=META&id=FE%2b2                	14.0 µM
55	borate                            	/compound?orgid=META&id=BORATE                	12.1 µM
56	myo-inositol                      	/compound?orgid=META&id=MYO-INOSITOL          	11 µM
57	nicotinate                        	/compound?orgid=META&id=NIACINE               	7.3708 µM
58	nitrate                           	/compound?orgid=META&id=NITRATE               	6.8 µM
59	(R)-pantothenate                  	/compound?orgid=META&id=PANTOTHENATE          	6.59 µM
60	menadione                         	/compound?orgid=META&id=CPD-3766              	5.8 µM
61	(R)-lipoate                       	/compound?orgid=META&id=LIPOIC-ACID           	5.114 µM
62	resazurin                         	/compound?orgid=META&id=CPD-22877             	4.4 µM
63	Co2+                              	/compound?orgid=META&id=CO%2b2                	4.3384 µM
64	NAD+                              	/compound?orgid=META&id=NAD                   	3 µM
65	Mn2+                              	/compound?orgid=META&id=MN%2b2                	3 µM
66	riboflavin                        	/compound?orgid=META&id=RIBOFLAVIN            	2.3977 µM
67	hematin                           	/compound?orgid=META&id=CPD-11677             	1.9 µM
68	thiamine                          	/compound?orgid=META&id=THIAMINE              	1.86 µM
69	folate                            	/compound?orgid=META&id=CPD-12826             	1.27 µM
70	isovalerate                       	/compound?orgid=META&id=ISOVALERATE           	990 nM
71	hemin                             	/compound?orgid=META&id=CPD-11678             	770 nM
72	Cu2+                              	/compound?orgid=META&id=CU%2b2                	751.86 nM
73	iodide                            	/compound?orgid=META&id=CPD-387               	663 nM
74	molybdate                         	/compound?orgid=META&id=CPD-3                 	410.0 nM
75	Al3+                              	/compound?orgid=META&id=CPD-1484              	390 nM
76	4-aminobenzoate                   	/compound?orgid=META&id=P-AMINO-BENZOATE      	370 nM
77	tungstate                         	/compound?orgid=META&id=TUNGSTATE             	330 nM
78	heptamolybdate                    	/compound?orgid=META&id=CPD0-2517             	153.74 nM
79	adenosylcobalamin                 	/compound?orgid=META&id=ADENOSYLCOBALAMIN     	6.3e-10 M
80	fructose                          	/META/NEW-IMAGE?type=COMPOUND&object=Fructose
81	potassium acetate                 	/compound?orgid=META&id=CPD-22893
